userId,score,purple,legendaries
988810706,3202565.00,139850,219
7959618878,2182630.00,62900,337
6456851115,696600.00,54000,119
510821661,496800.00,36000,128
6785060469,372600.00,18000,197
6388230137,371000.00,53000,60
1736242159,243000.00,30000,71
7660037791,238700.00,11000,207
8272052798,156693.00,27490,47
1857394009,145488.00,25980,46
7256405969,144900.00,28980,40
1873015174,136300.00,29000,37
1071269018,131100.00,23000,47
5161277627,127500.00,25000,41
5732869682,126000.00,28000,35
8106923290,126000.00,21000,50
8155515786,125400.00,19000,56
7577674780,123500.00,19000,55
7257547750,119600.00,23000,42
8344705580,118536.00,17960,56
7867985924,113975.00,11750,87
7739065179,110400.00,16000,59
1134515352,107100.00,21000,41
200071976,106200.00,18000,49
7026634013,106000.00,20000,43
955360497,105400.00,31000,24
616366938,104500.00,19000,45
7409397924,102600.00,18000,47
7312960078,99000.00,18000,45
7351299045,98800.00,19000,42
1710565673,98400.00,24000,31
6093506369,96000.00,20000,38
653447792,96000.00,20000,38
540147946,93600.00,18000,42
7900561453,93600.00,18000,42
7482248395,93132.00,17910,42
7701035475,90000.00,20000,35
8114324411,90000.00,18000,40
904728553,90000.00,18000,40
8376740554,86900.00,11000,69
7401453393,86400.00,18000,38
7899700845,86400.00,18000,38
1764834889,85800.00,22000,29
7279155366,84600.00,11750,62
1432744661,83600.00,19000,34
225067552,83200.00,26000,22
5315938649,82800.00,18000,36
7680090150,82000.00,20000,31
7447203509,80400.00,12000,57
6235704440,80132.00,17420,36
706381844,78200.00,23000,24
365556184,78200.00,17000,36
8114217914,78200.00,17000,36
6613753251,77400.00,18000,33
5001401734,77400.00,18000,33
5683311610,77400.00,18000,33
7221952160,77400.00,18000,33
6930583808,77000.00,22000,25
1274270464,75600.00,21000,26
5114560326,75295.00,13690,45
8362483747,74800.00,22000,24
5094991042,73800.00,18000,31
197240679,73630.00,19900,27
6221491790,73200.00,12000,51
7875432264,72000.00,20000,26
1190456595,71400.00,21000,24
5320633298,71400.00,21000,24
7302265767,71400.00,17000,32
405670923,71300.00,23000,21
8039198729,70500.00,15000,37
7963694106,70400.00,16000,34
92723840,70400.00,16000,34
5188417924,70300.00,19000,27
7812746344,70000.00,10000,60
7847821085,69300.00,11000,53
542846406,68400.00,18000,28
1754966012,68400.00,18000,28
7209525995,68000.00,17000,30
891493458,68000.00,17000,30
547636436,67600.00,13000,42
