username,gold,userid
amiyahar,1127480,6682388054
Lusik2,14544852,460020156
oblvko,52290329,225870975
sarinamad,1219080,6471039901
azistek,12351263,5811242274
ArtWasp,15137012,176336988
8100691461,7228509,8100691461
YuriiSergi,27424920,1755907034
susu_1984,32582865,2065381225
susimek,1159090,6587950065
ToriTori01,34908078,1213008615
kaktus_joine,16744412,301385812
Mesmaeilmohammadi,32186438,7250139870
mamina3,5040458,8069744770
densmall,25208695,653447792
ibxd96,32569247,365816691
TimTLT,40344607,1187896467
Fjfjfjfjccc,7880413,7319962839
imitz,5968584,line:Ufdc667942d1c6748fd9c6dc70e79103c
Nazarbaeev36,40388447,810432427
Vvvkcvkkvck,8313247,7900561453
Nishanth Velu,5252642,line:U7d1a0cf2fae895bcc360e63becd16892
royalexhp,29631302,1527199056
brunajastro1,930150,1735277654
7763194818,8914912,7763194818
Tymur_TiM,12246115,247107340
maurinesoriano,1525650,1943885013
dpetrakov78,612500,56851083
Andrewbelgovski,28327754,5203798920
Crypto_miha,30883523,5835434348
elizium,14676000,224573
Ludmila_crypto,30776226,6635331519
Vitaliy179,23577238,1145164565
alpetar82,7790702,827585122
1010093125,24589964,1010093125
Rain Turtle,14414741,line:U8e9942b252264dc71566c55b7eeffadd
8060747034,5666696,8060747034
Ehehdudub,8437230,7875432264
nastealittle,5172183,1307951914
7927908289,1246150,7927908289
7564132047,22539002,7564132047
Erick John Gamo,498950,line:U3b3c49161cb9757b66353b12b16d61f5
heyergi,1270150,7858644837
checkmate6464,11537017,7910409125
Yulouy,30751775,665234664
TakoiAAS,9717807,311456411
8027807518,1244890,8027807518
ekaterina071185,5866690,7267817521
Noordrop7,6873175,5056836480
8020207578,5326433,8020207578
はーめ,3436328,line:Uf92e2c0be87a3d0249a63bd61680dc3c
requert,15474407,2014938371
AL_gray,17437141,664354166
Raptr2,7786885,439553256
7337861837,34886313,7337861837
anatoliyzabila,11669043,649892024
MaryMil37608195,10946150,5016234033
Gondurapsina,37833330,350450110
life_debug_config,25159135,511481747
Artem000_09,2486040,7114482651
Sven,2615226,line:Ub5e0a451da262aacb31ed969c3f860df
crazik24,27827739,6739915676
t1m_ksh,30544343,613033791
Buggor73,15247829,1876905031
RRJSB,24135914,7195933882
nonyabeeswax12,1393540,7295183730
Mishkakod,26033209,6202441591
whathishit9,7970260,6867024203
dmitrii1510,6410995,2133736270
8018803376,19386775,8018803376
8042028893,1372150,8042028893
SantoryuU3,29400782,1162798851
7991428620,1536650,7991428620
7441894874,2208670,7441894874
Ubin,2542438,line:Ub5f3a2481dd50133471093a8abcc1377
8112035613,1604560,8112035613
7930062760,1532650,7930062760
brianhillas,4967506,7182034842
kakbinexotelosb,5468040,6926803475
りゅう,3106653,line:U45dd8fdb875b45aeec467aee75152185
vlad59,22910642,line:Uf3b77600fcf64a011e32d5483e605bd6
Tamago4,14318291,line:U79387f7afdcd9e40110e4e97956f3dba
dimesh76,20704499,438159110
rosamil1,25773181,8083758171
zen_serg,41505844,567477719
7541693581,8705649,7541693581
Artem_Chebotarev2024,44579276,5282570639
jeccaa2020,1854080,7884943790
DK_1307,19553855,410532380
sskeymoon,17719946,6026195840
X_x_666_x_X,30358240,591719855
EduardR12,50497212,955360497
oslo36,27642096,782132161
tonware,36526870,90343545
nocomment_fencer,31419256,5078869454
Suguru Hirokawa,992270,line:Ue2d73f8e47af2c504b9f1e8b5704738f
Mayumi,3280975,line:Ue24c358a6c67c695aaac5a5b5aecc019
7303066101,21592256,7303066101
"Yoko,A",2757125,line:U2c9ca8212895296796ca71b7961737ad
Renggo1,257590,6110634052
BossevichT,32983585,525798824
M191919,9618150,6415239785
6970076277,33266926,6970076277
SLnatalya1,9618150,5426457638
BRielan,644310,2055413812
Milana,22317535,line:Uf323023ab1afb13688deefd1572d6fbd
konstantin197500,30822883,5548904357
OlegLet,19499521,1279792559
karimtynxamon,5068292,6747275064
Meldapapin,27348008,7345400242
MRyzhov,16083167,279552999
Yaruk1110,8738167,6901985857
Dmitriy8778,29204363,465444742
s2a1n,6337311,407210368
1432744661,18050011,1432744661
TuckerNot,23785406,6337011469
eMedok,1087650,880471196
Tolik2015,17407488,7430692417
7576246986,9785880,7576246986
evgeny_kova,2543600,1088840626
7257547750,32536223,7257547750
西野 雄祐,5522517,line:U7fdbe3d8c7e0b7eeecda3308a3617ce1
FIA_L_K_A,36214375,1459812830
ivanke9000,11382364,7100693230
LyraDamnedIce,19428889,214717493
Green,24502668,line:U7f8f8d72a96ea47332e08aeae3502583
Aurora11000,11608300,7441598034
Albert_lain,45348447,681819236
ProKiliC,39236073,637927622
Zhuck,13730312,line:U7ae547a1f61179f19dae3ff6517d6192
7208344656,21081129,7208344656
TrafalgarLow33,17034651,6987945700
Gargamel57,804490,563288711
Dedi21,381130,line:U030fb2819bfc40b6600de8e3ed10105c
Nigasan,253710,7921631914
5651721912,19535076,5651721912
Yan_yan11111,15303305,7173493897
Kkjjipuook,15512664,7368872480
Julani,55157921,546206198
sveto_therapy,9183883,6154531879
YevheniyDemchenko,25367270,995743974
JohnyCrow,27982755,150391359
Astrolith,27048437,304567675
bon1111111,15531642,7049434673
Iriska1006,28608094,896954495
BogdanHomik,3462675,336827329
ProServisVL,52294455,1214157058
7799361978,5116757,7799361978
VL5VL5,52144944,171473955
7910925528,1115650,7910925528
ber649,14771132,7066322871
Habiba319,3393495,7208000567
Teona100,11086794,7293864409
godbolte1,249160,1867264566
560189662,29106734,560189662
Hoang,320270,line:Uef913e6a72ca89ebe71e9e917147fcdd
vloneneaz,7983272,416645033
camPPunk,2817610,213747533
jannces,35848537,5091001374
gggooouuu123,13045420,205164354
岡本 宏生,5493984,line:U2325d6d602e2212148dddb010f4e9418
Sultan_Tuyakbayev,6973585,214996340
5224820999,19028746,5224820999
Felixist,26785591,7459905740
JoostLint,26930654,5278925766
Sanemiiie,6534121,8283744972
1512640815,6127330,1512640815
RomanLucky8888,4855639,1850228021
7636422174,813650,7636422174
7573193877,37109817,7573193877
Pletnev_86,6221477,351141982
のせ,4135259,line:U330b971acdbb4b475aeab8abd907225a
6828434907,1300340,6828434907
rangipangirangi,15406571,6975347798
7261088248,12662698,7261088248
Antislabs,27708888,426831202
Yaseen319,39017217,6456851115
Filou06,329630,1260842170
Eiji,171500,line:Ud8e29eed0c382727cf94aa10b55c831e
ほそかわたかし,2647183,line:U7ec72168f8000426bd09fad27f478f9f
bloodshedd,34891595,466479225
Natlam85,49105301,5092276545
7822527270,857650,7822527270
Taurus367,6747030,7822944480
aidhrb,12163850,1381512307
broncos,13865357,line:U3655b32a1a5c1e9f8eba293b13a1578e
Irwanda,1507150,line:Ud7c73ac545a3e11d596b5e71ff57e0c5
Timur_Ribalchenko,27392816,7034985942
7315949289,1973150,7315949289
AnsoyWi,6713140,8445567278
Lilia486,17208488,2100702153
gomwr,2106270,360182787
Dipali Singh,22809786,line:U42fb39fdc075a5dac3c1eb8123a938c7
on0tole,979000,147181844
SvenP9,19529472,5239125624
toniypol,14824585,7284929685
7964585151,970650,7964585151
gorbachevmo,27816406,891493458
artembagryancev,32899372,349574020
7660393399,16497905,7660393399
ludook22,8743150,6595769722
ZVV2411,36246814,6200382100
rypetype,8630052,6587894951
Aleks25nik,43578139,6188202688
Anm B,599670,line:U315bd0b1c398f6ebf1d581641d77477b
Galaa111,14795420,7494003158
ArtyomXD,602650,359583231
8132743463,825650,8132743463
Weltenbummler_2019,16252705,1860533608
cyberislands,3402570,6539056768
MarkLuc2e,11890500,5038122058
Mg70024,12994320,6840453711
asdead11,13607197,890765478
Polohovyi,8514310,7738431629
Sergey9k,26051567,438476031
Yu Hirai,997580,line:U0e78f226c6359d6d28e5b6c0569cc49f
8036036170,900650,8036036170
Musashiroi,29526577,1841028334
Sergejs ,16680683,line:Ud5c46c2a85ee98cf40ee2ceaba538510
Kuro2323,9894012,line:U08a222ca21a43a5e39ef2c9991ecff7b
hyuruusu,396710,5478585446
tomowish,5580416,line:U011d9b04ed70160e81e8281ea692cc1c
imaq80,27989710,5226997941
7812301885,886650,7812301885
sqwedwrd21,44190188,6421544549
FAUSTIX_00,26406803,564764793
7249536466,12488528,7249536466
