rank,username,score,gold,rares,epics,legendaries,userid
1995,ひろぽん,0.0,0.0,24,9,2,line:Ubcc4448d45eac77b5ab5903b341255e9
1996,7227936722,0.0,0.0,56,16,3,7227936722
1997,salin_mihail,0.0,0.0,8,7,0,506638270
1998,volfgant_fr,0.0,0.0,13,6,1,678443651
1999,DenizVK,0.0,0.0,20,7,3,498324935
2000,hqlk2016,0.0,0.0,46,10,4,5020376275
2001,7391093771,0.0,0.0,12,4,4,7391093771
2002,VincentRogers12061994,0.0,0.0,54,21,5,6930308113
2003,DanielleArcher30111999,0.0,0.0,60,14,11,7272555833
2004,PeterKelley14121993,0.0,0.0,44,13,3,7577171776
2005,ジャム,0.0,0.0,29,9,2,line:Uc7463c2e9eee2322c030194f7b28278b
2006,KevinSt73ss,0.0,0.0,159,58,13,5060870918
2007,Jack_kredok,0.0,0.0,38,14,3,872090162
2008,BillyPrice23051998,0.0,0.0,40,18,2,7233886971
2009,おかつ,0.0,0.0,29,15,1,line:U67aa49495c69d9582d0da8247ee77ba9
2010,lizzahhh,0.0,0.0,29,10,1,6631103677
2011,8076024986,0.0,0.0,48,21,6,8076024986
2012,546557478,0.0,0.0,3,2,0,546557478
2013,mu1tiset,0.0,0.0,3,1,1,262047356
2014,Jenek201,0.0,0.0,39,14,2,1915013858
2015,crypto_protector619,0.0,0.0,54,12,4,6938521107
2016,sijedomonz,0.0,0.0,32,12,1,7999108913
2017,AmeliaB9d,0.0,0.0,148,46,11,5024232481
2018,samintuk,0.0,0.0,3,2,0,6711436716
2019,7315619835,0.0,0.0,58,15,2,7315619835
2020,JohnTucEr,0.0,0.0,155,56,14,5051583283
2021,ネル,0.0,0.0,15,9,1,line:Ue7694256f9277c4af084f985ddb6be07
2022,koolkawaii,0.0,0.0,58,23,4,5433139162
2023,7819256934,0.0,0.0,54,17,4,7819256934
2024,potemkin_kudasaijp,0.0,0.0,47,21,2,7455242788
2025,Red Pearl,0.0,0.0,36,8,1,line:Ucc12bbef05cc4f9b00123f4ec35e2a38
2026,しずか,0.0,0.0,10,5,0,line:U5f23cab8ca2b692162fd994f7bd3547f
2027,福井 祐太,0.0,0.0,39,8,3,line:U977e14c683c4c539a019ab477a1ba9eb
2028,7947893463,0.0,0.0,58,17,0,7947893463
2029,tranglongkhanh,0.0,0.0,23,6,1,5395156706
2030,BOoMBoY49,0.0,0.0,20,5,0,2038528533
2031,Tati,0.0,0.0,38,15,2,line:U52c9ef97588b6231f6355344d05f4c34
2032,jeffreyrobbinson,0.0,0.0,117,37,11,6782053548
2033,stanislav56,0.0,0.0,12,2,1,94662552
2034,Steps1985,0.0,0.0,16,8,1,6388286606
2035,8035772286,0.0,0.0,59,14,2,8035772286
2036,Andreirebit,0.0,0.0,44,17,4,1685257925
2037,emourgues,0.0,0.0,22,7,1,5257285489
2038,5164159910,0.0,0.0,17,7,1,5164159910
2039,NataliGoranina,0.0,0.0,280,94,21,540147946
2040,angel1na756,0.0,0.0,211,67,7,1343254935
2041,8199484072,0.0,0.0,54,18,3,8199484072
2042,meganesanz,0.0,0.0,90,41,9,5337597398
2043,Amirhossein,0.0,0.0,128,44,3,line:Ue1421181f11628387f76ec5bcc60734e
2044,Kazuki Okano,0.0,0.0,40,12,3,line:U85942e0b983320a333f8198d59d7b054
2045,RobertM8e2,0.0,0.0,151,46,8,5058353398
2046,enjoyabol,0.0,0.0,19,4,2,467172216
2047,AnitaWilson2020,0.0,0.0,26,17,2,6889389416
2048,Olga,0.0,0.0,323,126,21,line:Ub3287e7af23312c2d196117168f7faed
2049,7768635192,0.0,0.0,52,17,6,7768635192
2050,LamboDiabl,0.0,0.0,23,12,0,1071269018
2051,FloraMo39f,0.0,0.0,133,54,8,5013005407
2052,konstr_olga,0.0,0.0,68,33,4,559959288
2053,mushop74,0.0,0.0,154,33,13,385825403
2054,E-suchi,0.0,0.0,45,13,2,line:U4f0e746762d96ad92d08b5f18ef366b0
2055,herkupeppu,0.0,0.0,11,3,1,1219543841
2056,7478007086,0.0,0.0,51,19,5,7478007086
2057,JacobHa09s,0.0,0.0,167,55,8,5039770492
2058,くみっきー,0.0,0.0,76,24,5,line:Ub2a9d9aac643056cb85b033ae30a52f5
2059,7746831959,0.0,0.0,58,16,1,7746831959
2060,クライ,0.0,0.0,41,17,2,line:Ude6427923bd0e875f8211d0283bd3b6a
2061,whenyouplaythisgame,0.0,0.0,65,19,1,6318499665
2062,みき,0.0,0.0,37,12,1,line:U2d7ec70587d328a6506a18c6f24caacc
2063,LucasTa6fe,0.0,0.0,149,50,6,5015190182
2064,LucasTa5ff,0.0,0.0,143,58,4,5027250941
2065,BooBooPie,0.0,0.0,54,13,3,1017277303
2066,7987652267,0.0,0.0,51,19,5,7987652267
2067,MannyAntoni,0.0,0.0,177,69,9,6345955249
2068,Cornho1io,0.0,0.0,45,11,4,7188269003
2069,violet_berrys,0.0,0.0,191,51,13,5320633298
2070,8004856266,0.0,0.0,49,19,7,8004856266
2071,Magdale6RT,0.0,0.0,142,51,12,5071887565
2072,きどりよ,0.0,0.0,40,9,1,line:U594dbcd5f5fb88ff153c68a475a152fd
2073,1971445964,0.0,0.0,23,8,4,1971445964
2074,木村真治,0.0,0.0,23,10,2,line:U9938055f9457e5d6993758ce1f366b2c
2075,nautpa,0.0,0.0,19,14,2,1831201594
2076,ReevesEthelbert,0.0,0.0,136,55,14,5058657252
2077,LilyJustAFlower,0.0,0.0,205,76,14,line:U4925352cbe7d8728f44b8afb8954835e
2078,K_M_A05,0.0,0.0,72,36,7,358790126
2079,jack5daniels,0.0,0.0,33,16,1,1279626845
2080,SabrinaAset,0.0,0.0,149,46,10,5068836806
2081,JildenorAndrade,0.0,0.0,23,7,0,6444323670
2082,Demosthenes11,0.0,0.0,41,12,2,7084808387
2083,wu_crypto,0.0,0.0,73,29,8,1008452020
2084,minhprolem1,0.0,0.0,12,8,0,2103925513
2085,OliverH83a,0.0,0.0,156,59,15,5072689618
2086,GustarN,0.0,0.0,14,10,1,7238515227
2087,nkmslvstr,0.0,0.0,76,36,3,6063776779
2088,RobertTeras,0.0,0.0,149,49,7,5041180360
2089,mastrophot,0.0,0.0,38,11,1,2018026
2090,8018523849,0.0,0.0,30,12,3,8018523849
2091,Baxmypka,0.0,0.0,28,10,2,line:Uaec442d65ca73b0412d1ea0e100a8472
2092,BlomsHelen,0.0,0.0,141,55,9,5054753779
2093,6937623630,0.0,0.0,27,10,3,6937623630
2094,BestLyubov,0.0,0.0,165,80,10,5091197605
2095,prominimal,0.0,0.0,10,5,0,485503380
2096,8495118562,0.0,0.0,40,8,2,8495118562
2097,alenka_dja,0.0,0.0,25,10,0,1245964050
2098,JohnHud58,0.0,0.0,161,57,12,5091461634
2099,M4rcos1,0.0,0.0,30,10,0,502888950
2100,さとし,0.0,0.0,22,16,2,line:Ue0430af8add8abbbde95f6b48faca250
2101,Superenwell,0.0,0.0,47,8,0,1635780430
2102,1177379524,0.0,0.0,93,34,8,1177379524
2103,＠kira,0.0,0.0,43,10,2,line:U5c5aadecd1dd3daca179dcfd74d3c58b
2104,TrueYAMA,0.0,0.0,33,15,2,1830055948
2105,reza,0.0,0.0,5,0,0,line:U7ff9d7e775b774e09979dc9a08a7031a
2106,o1avit,0.0,0.0,20,8,2,5884079775
2107,pwee3,0.0,0.0,49,16,5,5158394539
2108,NikaFirs,0.0,0.0,28,9,3,1729444291
2109,Komarak,0.0,0.0,4,0,1,158114990
2110,Yulia_Petrova33,0.0,0.0,27,11,2,2027725796
2111,RKazemiSW,0.0,0.0,10,10,0,7282999117
