username,score,purple,legendaries,userId
avux1982,140924.00,28760,39,7863106344
JohnnyBGo,140400.00,36000,29,1064316520
wolfok66,140400.00,27000,42,7931796637
Umarbek9119,140400.00,26000,44,548509032
Ronron303030,140000.00,35000,30,6851662071
AleksiDemon,139960.00,34990,30,1127433411
Zoroami,139200.00,29000,38,7368160523
Encoridge,138600.00,33000,32,197240679
lorainesabe,138600.00,33000,32,7763297518
Cringingly_strumatic,137970.00,18900,63,7243285002
levite2509,137213.00,31910,33,585323093
ProServisVL,136800.00,36000,28,1214157058
manrey33,136400.00,31000,34,2031054289
Temlisol2277,136300.00,29000,37,7209525995
LilyJustAFlower,135300.00,33000,31,253668293
Ckritzon,135200.00,26000,42,8114324411
Aaxxeel,135000.00,30000,35,660069237
F_E_S_S_1,135000.00,30000,35,6790941148
hai89ls,135000.00,27000,40,7680964321
wukannn,135000.00,27000,40,8362483747
Crypto_miha,134400.00,32000,32,5835434348
bmae21,134400.00,28000,38,8040112162
Moldvan,134106.00,31930,32,1418839514
W_T_Fedor,133200.00,37000,26,53648993
strax66627,133200.00,36000,27,1703562394
Mrxchan01,132600.00,34000,29,1880277027
pubuvv,132000.00,40000,23,5378466057
Denys_83,132000.00,33000,30,857543172
K_M_A05,132000.00,30000,34,358790126
loclocbi,132000.00,24000,45,7888041928
8141379256,132000.00,15000,78,8141379256
5290557621,131600.00,28000,37,5290557621
antoha_133,131200.00,32000,31,1050361109
BlackrootAttrition,131100.00,19000,59,6839066499
OmlHDI,131100.00,19000,59,7383824596
Castawaysindexical,130670.00,17900,63,7090150965
Harabas,130200.00,31000,32,1983366905
cutuno1,130200.00,21000,52,7884658704
5114560326,129960.00,21660,50,5114560326
FroIL7,129600.00,36000,26,1444319815
bobreggaebr,129500.00,35000,27,474886405
Oleh77774,129500.00,35000,27,7341555547
doktor_lektor1,129000.00,30000,33,5401258355
7746979117,129000.00,30000,33,7746979117
mariyaogi,128700.00,39000,23,821631231
gridayulya,128352.00,30560,32,641684700
maiiairdrop,128340.00,28520,35,8107647328
lucky_lucky1978,128000.00,32000,30,648269182
n_UIM,127500.00,15000,75,7342995868
7660393399,127400.00,26000,39,7660393399
exceedinglybonobo,127233.00,18990,57,6879876269
Igor_Bondarev,127100.00,31000,31,373056971
Ammusky,127100.00,31000,31,6759093180
soan01,126900.00,27000,37,8036351969
Coveks,126000.00,35000,26,2125825059
Julay222,125620.00,28550,34,6506551765
TheHaque7,125400.00,38000,23,7099759083
siberianka,124800.00,32000,29,1420147268
Gigabit_ton,124800.00,26000,38,7899700845
jujunchh,124209.00,33570,27,6045724002
postscapularChavender,124000.00,20000,52,7205780854
mWUwSs,123882.00,18770,56,7464009643
Dimon140913,123438.00,29390,32,2032091894
LionDY,123200.00,28000,34,6825618482
presecuringPalmiped,122822.00,19810,52,7416206053
Soboleva_os,122400.00,34000,26,411655235
i588261236b,121800.00,29000,32,6318161715
RuslanPv39,121632.00,21720,46,5966457828
Kaswan202,121600.00,32000,28,6516688013
Lastri999,121600.00,32000,28,6650502033
Natali1158,121448.00,25840,37,502319532
gusobnim,121182.00,31890,28,1472237454
Bear_1835,121040.00,17800,58,7056741483
readinesscyclothyme,121024.00,18910,54,7198527968
Tati_noda,120400.00,28000,33,223164353
vadim_zhivov,120000.00,40000,20,1081511636
Teona100,120000.00,25000,38,7293864409
thestupidrams,119680.00,29920,30,6877314004
RoVol_UR,118800.00,33000,26,428668317
akakura3,118800.00,22000,44,5272272669
IT_8770,118400.00,37000,22,1376758870
Mixanik0704,118188.00,28140,32,6611940895
1897557211,117800.00,31000,28,1897557211
vBdGjw,117612.00,17820,56,7377834102
Glazic,117600.00,28000,32,1071388201
2019660158,117000.00,26000,35,2019660158
Johnny_Depp1992,116600.00,22000,43,136343597
Fgzwwru,115680.00,28920,30,6369058184
salsarafa,115200.00,32000,26,205665509
anne_rgg,115200.00,32000,26,5110091710
wyanse,115200.00,18000,54,7916053840
braggersDetail,115014.00,19830,48,7487765910
djeansu,115000.00,25000,36,7534110371
Blondanizm,115000.00,25000,36,8114217914
Ludmila_crypto,114862.00,24970,36,6635331519
AleksWhite79,114800.00,28000,31,1241433422
Blavkmorgan,114800.00,28000,31,1607237399
Michael_Amboy,114800.00,28000,31,1776139861
776937055,114173.00,36830,21,776937055
Trinitybum,113190.00,26950,32,7680090150
youngLADY62,113100.00,29000,29,1049248385
Duck_durk,113100.00,29000,29,7079527193
checkmate6464,112974.00,29730,28,7910409125
8020207578,112800.00,24000,37,8020207578
7851514959,112500.00,25000,35,7851514959
ilyuxa,112200.00,33000,24,46681647
daxdaxy,112000.00,35000,22,1229692545
kos2050,112000.00,32000,25,1011840982
rebus43,112000.00,28000,30,6754106782
